Category,Message
1,"stop be me!"
1,"where do you take me"
1,"why are you after me"
0,"Im parked next to a MINI!!!! When are you coming in today do you think"
0,"Ummma.will call after check in.our life will begin from qatar so pls pray very hard."
0,"Tell where you reached"
0,"What is your favorite thing to cook"
0,"Do you have any tips for improving productivity"
1,"what do you need from me"
0,"Cool, text me when you ire parked"
1,"what behave you want from me"
1,"i cant overrun you forever"
0,"What is your favorite type of food to cook with friends"
1,"give me assistance"
0,"Have you seen any good movies or TV shows lately"
1,"if you keep dog me i will defend myself"
1,"delight discontinue help help"
0,"What is your favorite type of staycation activity"
1,"delight dont kill me delight forgive me"
1,"cant we talk about this"
0,"I am going to sao mu today. Will be done only at 1"
1,"cant we talk about it instead of my tagging"
1,"i didn't fare anything why are you chasing me"
0,"What is your favorite type of volunteer work or social activism"
1,"i ask to convey away from you"
1,"i am not worth it just go"
1,"i am not worth it so go"
0,"What is your favorite type of fashion or clothing style"
1,"theyll help me help"
1,"dont go to me or i will call for help"
1,"please i have a family"
1,"i am not worth it leave"
1,"stimulate away from me!"
1,"ill scream if you come soon"
1,"ill scream if you go any closer"
0,"Sorry, I ill call later in meeting."
1,"i need you help"
0,"What is your favorite type of game or gaming platform"
1,"leave me alone"
1,"please i dont want any trouble"
1,"please dont get me into trouble"
1,"why dont you just let me go"
0,"How are you doing Hope you ive settled in for the new school year. Just wishin you a greight day"
1,"i dont have much to offer just let me go"
0,"What is your favorite thing to do outside"
0,"Wa, ur openin sentence very formal"
1,"if you chase me i will defend myself"
0,"Do you know what Mallika Sherawat did yesterday Find out now @  lt;URLgt;"
1,"i am not going to give you my wallet just leave me alone"
1,"i am not worth it just leave"
0,"What is your favorite type of weather or climate"
1,"depart me alone who are you help delight exit me"
1,"if you continue to pursue me i will defend myself"
1,"provide me i dont know who are you"
0,"Do you have any favorite fitness apps or fitness influencers to follow"
0,"What is your favorite type of social media platform or app"
1,"depart me aid help"
1,"i need to flummox away from you"
1,"leave me assist assist"
0,"Hi the way I was with u day, is the normal waythis is the real me.  "
0,"What is your favorite type of outdoor activity"
0,"K..k:)how much does it cost"
1,"i didn't behave anything why live you chasing me"
0,"Yup Ok i go home look at the timings then i msg u again"
1,"please i don't require any trouble"
1,"help me find my location"
0,"You are everywhere dirt, on the floor, the windows, even on my shirt."
0,"What is your favorite type of charity or non-profit organization"
1,"provide me i dont know who are you"
1,"crime crime help avail aid"
1,"i am not worth it just proceed away"
0,"Yeah I think my usual guy is still passed out from last night,"
1,"somebody delight serve me delight lead me assist serve somebody help"
1,"please stop i implore you to stop"
0,"Do you prefer coffee or tea"
1,"please just leave"
1,"can't we talk about this instead of chamfer me"
1,"depart me help facilitate"
1,"somebody delight help me please leave me help facilitate somebody facilitate"
0,"Sindu got job in birla soft .."
1,"i ask help i ask help please facilitate"
1,"somebody redeem me"
1,"this isn't funny stop chasing me"
0,"What is your favorite thing about your job"
0,"What is your favorite type of book or genre"
0,"Don it necessarily expect it to be done before you get back though because I im just now headin out"
1,"i cant run from you forever please"
1,"delight stop help help"
0,"Sorry, I ill call later"
0,"Do you have any favorite social media influencers or communities to follow"
0,"Yes see ya not on the dot"
1,"they will down me help serve help"
0,"What you thinked about me. First time you saw me in class."
1,"if you keep following me i will defend myself"
0,"What is your favorite type of book or genre to read for pleasure"
1,"talk to the police"
0,"What is your favorite type of fashion or clothing style"
1,"ill scream if you get closer"
1,"please leave me some help"
1,"why are you going to do this"
0,"Dear good morning now only i am up"
1,"i'll scream if you fare any closer"
0,"Are you this much buzy"
0,"What is your favorite type of home decor or interior design style"
0,"What is your favorite type of museum exhibit"
0,"Do you have any favorite hobby or interest groups or online communities to join"
1,"why dont you just have me go"
0,"hi baby im cruisin with my girl friend what r u up "
0,"K. Did you call me just now ah"
1,"what are you suffice stop please arrest help help"
0,"What is your favorite type of food"
1,"call the police"
0,"What is your favorite sport"
0,"Do you have any favorite hair stylists or hair product brands to follow"
0,"Did I forget to tell you  I want you"
0,"Yeah hopefully, if tyler can it do it I could maybe ask around a bit"
1,"help me help me help me aid me aid me"
1,"if you pursue me i will defend myself"
0,"Hello! Just got here, st andrews-boy its a long way! Its cold. I will keep you posted"
1,"they are trying to kill me1"
0,"Great! I hope you like your man well endowed. I am  lt;gt;  inches"
0,"Do you have any favorite authors or literary influencers"
1,"please help me"
0,"Do you like to travel Where have you been"
1,"ill get the scream if i come closer"
0,"Yup How  noe leh"
1,"ill scream if youre close"
1,"i need help please"
0,"What is your favorite type of staycation activity"
0,"What is your favorite type of craft or DIY project"
1,"i need help i need help delight"
0,"England v Macedonia dont miss the goals team news.WALES"
1,"i ask for help"
0,"What is your favorite type of museum exhibit"
0,"Cool. So how come you havent been wined and dined before"
1,"phone the police"
1,"please leave me facilitate help help"
0,"Hi da:)how is the todays class"
1,"why are you doing this"
1,"depart me aid help"
0,"What is your favorite type of meditation or mindfulness practice"
0,"What is your favorite type of TV show or movie to watch for entertainment"
0,"Do you have any favorite charity events or non-profit influencers to support"
1,"help help help kon ho tumlog help help help facilitate"
1,"leave me aid help"
1,"i am not going to give you my wallet please i am going to leave you alone"
1,"i didnt do anything why constitute you chasing me"
0,"Yeah you should. I think you can use your gt atm now to register."
1,"why won't you just countenance me go"
0,"What is your favorite way to stay organized"
0,"Finished class where are you."
1,"why are you doing that"
1,"i am not sure what you mean by following me"
1,"tell me the practice you want from me"
0,"is your hamster dead Hey so tmr i meet you at 1pm orchard mrt"
1,"ill give you nothing you want just leave me alone"
1,"ill scream if you follow any closer"
1,"entrust me alone who are you help delight provide me"
1,"i didnt do anything why exist you chase me"
0,"Do you have any favorite pet or animal influencers or organizations"
1,"someone please assist me"
0,"Okie"
0,"I cant pick the phone right now. Pls send a message"
1,"i didnt say anything what made you chase me"
0,"Do you like to exercise What kind of workouts do you enjoy"
0,"Pick you up bout seven.Three0ish What time are  and that going"
0,"What is your favorite type of technology or gadget"
1,"why are you doing that"
0,"Morning only i can ok."
1,"ill scream if youre coming"
1,"somebody delight serve me"
1,"can we talk about it instead of tag me"
1,"what are you doing stop please stop help help"
1,"Please I don't want any trouble"
1,"what do you need of me"
1,"stop following me"
0,"Do you like to travel Where have you been"
1,"where embody you taking me stop else i will call the police"
1,"ill ask help"
0,"Dear we are going to our rubber place"
0,"Going on nothing great.bye"
1,"please i am beg you to stop"
1,"lend me aid"
1,"i am not afraid to come back"
0,"What is your favorite book"
1,"forget me alone serve assist i will call help"
0,"Yes:)here tv is always available in work place.."
0,"What is your favorite way to support small businesses"
1,"if you keep on following me i will defend myself"
1,"phone the police!"
0,"What is your favorite way to learn something new"
1,"i didnt arrange anything why cost you chasing me"
0,"Ok.."
1,"please help me"
1,"help me with a dog"
0,"Ha ha ha good joke. Girls are situation seekers."
1,"if you keep coming after me i will defend myself"
1,"i am not fail to give you my wallet just leave me alone"
0,"Tired. I haven it slept well the past few nights."
0,"What is your favorite type of exercise or fitness routine"
1,"but maybe we can talk to each other instead of chasing me"
1,"i am not worth it just move away"
1,"where are you bring me stop else i will call the police"
0,"Till ! But we won it go there! Not doing too badly cheers."
1,"i don't know you why represent you following me"
1,"i need help"
1,"please stop i am asking you to stop"
1,"leave me alone who are you help please result me"
1,"please leave me help help aid1"
0,"What are your plans for the day"
1,"what you want in my practice"
0,"Do you have any favorite board games or card games"
1,"i am not sound to give you my wallet just depart me alone"
0,"Cool, text me when you ire ready"
1,"i don't know you why live you accompany me"
0,"Do you have any favorite podcast or radio show hosts to follow"
1,"what practice do you want me to practice"
1,"please help"
0,"Do you have any favorite tech bloggers or influencers to follow"
0,"Do you have any favorite language learning apps or language influencers to follow"
1,"please stop help"
0,"K..i deleted my contact that why"
1,"if you keep on chasing me i will defend myself"
0,"What is your favorite type of sport or athletic activity"
0,"Huh so late.Fr dinner"
0,"Aft i finish my lunch then i go str down lor. Ard Three smth lor"
1,"help someone find me"
0,"What is your favorite type of holiday or celebration"
0,"Do you have any favorite technology websites or tech influencers to follow"
0,"What is the plural of the noun research"
0,"Do you have any favorite gardening resources or plant influencers to follow"
0,"Well there is not a lot of things happening in Lindsay on New years."
1,"address the police"
0,"He is there. You call and meet him"
1,"they will kill me help help help"
1,"leave me alone"
1,"i didn't do anything why constitute you chasing me"
1,"please leave me aid help help1"
1,"i didnt do anything why represent you chamfer me"
0,"What is your favorite type of candy or dessert"
1,"i have nothing you want just leave me alone"
0,"Tell rob to mack his gf in the theater"
0,"What is your favorite type of drama"
1,"what are you suffice stop please arrest help help"
1,"what practice you want from me"
1,"where follow you rent me stop else i will scream the police"
1,"where personify you get me stop else i will hollo the police"
0,"Do you have any favorite artists or designers"
1,"Can't we talk about this instead of chasing me"
1,"please i dont want any problems"
0,"What is your favorite type of hairstyle or hair product"
0,"Hey leave it. not a big deal:-) take care."
0,"Do you have any favorite sports teams"
1,"helppppp hlp hlp heeelllppppp please help"
1,"someone please help me"
1,"stop surveil me!"
1,"exit me i dont know who are you"
0,"What is your favorite type of food or cuisine"
0,"What is your favorite type of job or career path"
1,"I need help i need help please help"
0,"Do you have any favorite language learning resources or cultural events to attend"
1,"leave me alone who are you assist please lead me"
0,"Ok Ur typical reply"
1,"someone please help me please help me"
0,"Keep my payasam there if rinu brings"
0,"I im sorry. I ive joined the league of people that dont keep in touch."
1,"stop spying on me"
0,"I id like some fun you up for it still Tb ok! XxX std chgs to send, 1.Five0 to rcv"
1,"call the police"
1,"if you continue to chase me i will defend myself"
1,"cant we verbalize this instead of following me"
0,"What is your favorite type of creative outlet"
1,"i need help i need help please"
1,"i need help"
0,"What is your favorite season of the year"
0,"What is your favorite type of historical event to learn about"
1,"i possess nothing you want just leave me alone"
1,"provide me alone who cost you assist please depart me"
0,"What is your favorite type of website"
1,"what are you doing with me"
1,"leave me i dont know who are you"
0,"Haf u found him I feel so stupid da v cam was working."
1,"i need help i want help please"
1,"i am trying to get away from you"
0,"Do you have any favorite fashion designers or influencers to follow"
0,"Do you have any favorite crafting or DIY blogs or websites"
0,"because hes verifying about project. Prabu told today so only pa dont mistake me.."
1,"i can't outrun you forever please just operate away"
1,"leave me alone help help i will scream help"
0,"Thank You for calling.Forgot to say Happy Onam to you Sirji."
1,"can we talk about this instead of chamfering me"
1,"please help me"
1,"please dont bother me"
1,"tumhe jo chahiye le lo aur mujhe jane cause"
1,"what are your intentions with me"
1,"why do you beat me"
0,"What is your favorite type of outdoor adventure"
0,"Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx"
1,"why are you putting something here"
0,"What is your favorite type of animal"
0,"It didnt work again oh. Ok goodnight then."
1,"i involve help i involve aid delight help"
0,"What kind of music do you listen to"
1,"i am not worth it just proceed away"
0,"Do you have any favorite quotes"
1,"if you keep chamfer me i will defend myself"
1,"leave me assist help"
0,"Do you like to read What is your favorite book"
0,"What is your favorite type of food to eat when you ire feeling down"
0,"I wish you were here in bed with me"
0,"What is your favorite type of food or cuisine"
1,"i dont know why you succeeded me"
1,"help someone's track me!"
0,"I know you are. Can you pls open the back"
1,"what do you need from me"
1,"why won't you just let me go"
0,"Anyway i im going shopping on my own now. Cos my sis not done yet. Dun disturb u liao."
1,"i am not going to leave you my wallet just result me alone"
1,"why do you tag me"
0,"New Theory: Argument wins d SITUATION,"
0,"Do you have any favorite outdoor activities or hobbies"
1,"why constitute you doing this"
0,"It took Mr owl Three licks"
0,"Yes..gauti and sehwag out of odi series."
0,"Smile in Pleasure Smile in Pain Smile when trouble pours like Rain "
1,"somebody help me please help me someone help me"
1,"whats the coiffe that you want from me"
1,"someone delights me please"
1,"talk to the police"
1,"please depart me assist help aid1"
0,"What is your favorite type of book or reading genre"
1,"i am not going to give you anything you want"
0,"What is your favorite type of hobby to do with a group"
0,"I im still looking for a car to buy. And have not gone Fourthe driving test yet."
1,"what do you need from me"
0,"Do you have any favorite music streaming services or music influencers to follow"
1,"i want help"
0,"Can you say what happen"
0,"Haha awesome, be there in a minute"
1,"i dont know you i do not know you"
1,"please dont beat me please forgive me"
1,"dont we talk about it instead of chase me"
0,"wow. You ire right! I didn it mean to do that."
1,"why exist you furrow me"
0,"You are one of the most open people i ive ever met."
1,"Please I have a family"
0,"FreeMsg Hey there darling it is been Three week is now and no word back"
0,"Do you have any favorite coffee shops or tea houses to visit"
0,"How would my ip address test that considering my computer isn it a minecraft server"
0,"No no. I will check all rooms befor activities"
1,"entrust me to help you facilitate"
1,"if you continue to follow me i will defend myself"
0,"I see the letter B on my car"
0,"Where are youwhen wil you reach here"
0,"Awesome, I remember the last time we got somebody high for the first time with diesel :V"
1,"i am not die to contribute you my wallet just entrust me alone"
1,"i want help please"
1,"if you keep dog me i will defend myself"
1,"the man is attempting to rape me"
1,"if you keep chasing me i will defend myself"
1,"please i am praying for you to stop"
1,"can't we verbalise about this instead of chase me"
1,"please i am praying you stop"
0,"Yeah do! Dont stand to close tho- youll catch something!"
0,"Sorry, I ill call later"
0,"Are you eating your mom is left over dinner  Do you feel my Love"
1,"i am not taking any of what you want just let me be alone"
1,"why dont you just send me off"
1,"i am not jazzing you why do you watch me"
1,"forget me alone help help i will holler help"
1,"please help me"
0,"Do you have any favorite podcasts"
1,"why are you set this"
1,"bring away from me!"
1,"i dont have what you want just leave me alone"
1,"i havent escaped anything so why do you pursue me"
0,"Do you have any favorite artists or art galleries to follow"
1,"please provide me help help help"
0,"Mark is getting worried. He knows I im sick when I turn down pizza.Lol"
1,"someone please help me please help me"
1,"i need help i need help delight serve"
1,"please stop i am asking you to stop"
1,"leave me aid avail"
1,"what are you doing stop please discontinue help help"
1,"dont take me away or i will call for help"
0,"What is your favorite type of home decor or interior design style"
1,"depart me alone help help i will scream help"
0,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with "
0,"What do you like to do on weekends"
0,"Do you have any favorite TV shows or movies from your childhood"
1,"i am not going to give you my wallet just leave me alone"
1,"why exist you furrow me"
1,"contact the police"
0,"Not really dude, have no friends i im afraid "
1,"i must stay away from you"
1,"please help me"
0,"Do you have any favorite movie theaters or film festivals to attend"
0,"Going for dinner.msg you after."
0,"What is your favorite type of meditation or mindfulness practice"
0,"SIX chances to win CASH From 100 to 0,000 pounds txt CSH11 and send to eightsevenFivesevenFive"
0,"K, text me when you ire on the way"
1,"please i want to encourage you to stop"
0,"U say leh Of course nothing happen lar. Not say v romantic jus a bit only lor."
0,"First answer my question."
1,"leave me alone who are you help please leave me"
0,"Well, i im gonna finish my bath now. Have a goodfine night."
1,"he is trying to rape me"
1,"i need you help"
1,"if you get closer i will scream"
1,"i cant run away from you forever please"
0,"Ahhh. Work. I vaguely remember that! What does it feel like Lol"
0,"Am not interested to do like that."
1,"ill be fine just leave me alone"
0,"What is your favorite type of app"
0,"What is your favorite thing to do on a weekend afternoon"
1,"what constitute you doing stop please stop help help"
1,"i wont be afraid to run for a campaign"
1,"i am not going to give you my wallet just leave me alone"
0,"Do you have any favorite art museums or photography exhibitions to visit"
1,"help me please"
1,"i am not afraid to defend my side"
0,"What is your favorite type of makeup or skincare product"
0,"He is a womdarfull actor"
0,"I see a cup of coffee animation"
0,"I asked you to call him now ok"
1,"please dont drop me please forgive me"
1,"what are you doing stop please discontinue help help"
1,"tell me what your practice wants from me"
0,"Do you have any favorite podcast hosts or audio book narrators to follow"
1,"somebody please assist me"
0,"Oops. Four got that bit."
1,"please i am pray you to stop"
0,"Do you have any favorite holiday traditions or celebration influencers to follow"
1,"forget me alone who live you help please leave me"
0,"Do you have any tips for improving productivity"
1,"i dont know who is equal to you"
1,"why are you doing this"
1,"somebody please help me please depart me help help somebody aid"
0,"What is your favorite TV show"
1,"please dont curse me please forgive me"
0,"Do you have any favorite technology brands or tech influencers to follow"
1,"if you come closer i will yell"
0,"Great escape. I fancy the bridge but needs her lager. See you tomo"
1,"they will kill me help help assist"
1,"lead me i dont know who are you"
1,"i involve to baffle away from you"
0,"I plane to give on this month end."
0,"Yeah sure, give me a couple minutes to track down my wallet"
1,"ill scream if you get closer"
1,"if youre still chasing me i will defend myself"
1,"somebody please help me please leave me facilitate assist somebody help"
0,"Watching telugu movie..wat abt u"
0,"What is your favorite type of weather"
0,"Do you have any favorite weather-related activities or hobbies"
0,"Hey i will be late ah Meet you at nineFourFive+"
1,"leave me alone help assist i will scream help"
1,"delight discontinue help help"
0,"What is your favorite type of motivational quote"
0,"Do you have any favorite hobby clubs or pastime influencers to follow"
0,"What is your favorite type of TV show or series"
1,"cant we talk about this instead of chasing me"
1,"i am gonna scream if you go closer"
0,"Your gonna have to pick up a 1 burger for yourself on your way home. I can it even move. Pain is killing me."
1,"stay away from me or i will call for help"
1,"someone help me"
1,"someone please help me"
0,"Keep yourself safe for me because I need you and I miss you"
1,"leave me alone help assist i will scream help"
0,"What is your favorite type of entertainment"
0,"Do you have any favorite language learning resources or language influencers to follow"
0,"Kallis wont bat in nd innings."
1,"please help me"
0,"Do you have any recommendations for a good book"
1,"please help me help"
1,"why are you doing this"
1,"please serve me"
1,"if you came closer"
1,"where be you taking me stop else i will shout the police"
1,"stay away from me or i will call for help"
1,"where be you taking me stop else i will shout the police"
1,"they are trying to rape me"
1,"kon ho tum log help help serve help help"
1,"crime crime help help help"
1,"ill scream to you if youre closer"
0,"Do you have any favorite ways to reduce your carbon footprint"
0,"My life Means a lot to me, Not because I love my life,"
1,"please leave me help help serve1"
0,"Do you have any favorite TV show creators or actors to follow"
0,"Do you have any favorite quotes about life"
1,"why dont you let me go"
0,"He says he ill give me a call when his friend is got the money"
1,"please dont kill me please forgive me"
1,"why are you dog me"
1,"please i dont want to be in trouble"
0,"What is your favorite type of home decor"
1,"please dont do me any trouble"
1,"please i am tap you to stop"
0,"Ranjith cal drpd Deeraj and deepak Fivemin hold"
1,"i need help help"
1,"please i am asking you to stop"
0,"What do you like to do to relax"
1,"crime crime help avail aid"
1,"please dont hurt me"
0,"What is your favorite type of vacation or travel destination"
1,"let me help"
0,"Do you have any favorite actors or actresses"
0,"Coffee cake, i guess"
0,"here is my new address -applespairsall that malarky"
1,"somebody delight serve me delight lead me assist serve somebody help"
1,"please i dont need trouble"
1,"please leave me assist help help"
1,"i ask help"
0,"What is your favorite type of charity or cause to support"
1,"i need to get away from you"
1,"where constitute you exact me stop else i will phone the police"
0,"Yup"
1,"what practice do you want me to do"
0,"How was your weekend"
1,"i take nothing you want just leave me alone"
1,"i can't outrun you forever please just sound away"
0,"What is your favorite thing to do on a weekday evening"
0,"Do you have any favorite activities to do in nature"
0,"Hurt me Tease me Make me cry But in the end of my life when i die plz keep one rose on my grave."
1,"cant we talk about it instead of chasing me"
0,"Sorry to be a pain. Is it ok if we meet another night "
0,"Just sleeping..and surfing"
0,"Aaooooright are you at work"
1,"get away from me or i will call for help"
1,"please stop help help"
0,"Do you have any favorite animal shelters or pet rescues to support"
0,"Tomarrow final hearing on my laptop case so i cant."
0,"Aight yo, dats straight dogg"
0,"What is your favorite type of personal development or self-improvement practice"
0,"What is your favorite way to stay motivated"
0,"What is your favorite place to visit"
1,"i scream if youre closer to me"
1,"they will defeat me facilitate facilitate help"
0,"You are always putting your business out there. You put pictures of your ass on facebook."
0,"What is your favorite type of historical event to learn about"
0,"Dear, will call Tmorrow.pls accomodate."
0,"What is your favorite type of music to listen to while working"
1,"leave me alone who are you help please leave me "
1,"please blockade help aid"
0,"Or ill be a little closer like at the bus stop on the same street"
0,"For real when u getting on yo I only need  more tickets and one more jacket and I im done. "
1,"please i am implore you to stop"
1,"please dont stay"
1,"they will beat me help"
0,"What is your favorite type of pet or animal"
1,"why is it that youre coiffured"
1,"i need help i want assist please assist"
1,"cant we talk about it instead of chase me"
1,"i necessitate help i want help please assist"
1,"please dont disturb me"
0,"Do you have any favorite car or transportation bloggers or influencers to follow"
0,"What you doinghow are you"
0,"Its not the same here. Still looking for a job. How much do Ta is earn there."
1,"someone please help me"
1,"why do you do this"
1,"i want to get away from you"
1,"give me help"
0,"Do you have any favorite fitness instructors or workout apps to use"
0,"What is your favorite type of technology or gadget"
0,"What is your favorite type of architecture or design style"
1,"please help"
0,"What is your favorite type of weather or season"
1,"please leave me help facilitate help"
1,"i need help"
0,"Just so that you know,yetunde hasn it sent money yet."
1,"cant we talk about this instead of tag me"
1,"stay away from me or i will call for help"
1,"if you keep chase me i will defend myself"
1,"i dont know who you represent"
1,"can we talk about this"
0,"Let me know when you ive got the money so carlos can make the call"
0,"Call The Mobile Update Co FREE on 0eight00nineeightsix0Three0"
1,"i am not going to follow you forever"
1,"leave me alone facilitate help i will scream help"
0,"Awesome, I ill see you in a bit"
1,"please dont kill me delight forgive me"
1,"ill scream if you come a little closer"
1,"impart me help aid"
1,"why are you chasing me"
1,"i am not afraid to argue again"
0,"HEY GIRL. HOW R U HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO Call"
1,"just leave me alone"
0,"Pls go ahead with watts. I just wanted to be sure."
0,"What is your favorite type of game to play with friends"
1,"i birth nothing you want just leave me alone"
0,"To claim call 0nine0six1seven01Foursix1. Claim code KLThreeFour1. Valid 1 hours only."
0,"PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx"
1,"stop observe me!"
0,"Do you have any favorite comedians or humorists to follow"
1,"someone please serve me"
1,"if you dont chase me i will defend myself"
1,"stop me or i will call for help"
0,"Do you have any favorite travel bloggers or influencers to follow"
0,"What is your favorite type of charity or cause to support"
1,"leave me alone!"
1,"take away from me!"
0,"I im an actor. When i work, i work in the evening and sleep late."
0,"Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed!"
1,"ill scream if you follow any closer"
0,"U call me alter at 11 ok."
1,"what do you want from me"
0,"Do you have any favorite workout gear or clothing brands"
0,"What is your favorite thing to do with friends"
1,"i am not fit to give you my wallet just forget me alone"
0,"I im back, lemme know when you ire ready"
0,"i ALWAYS sleep late. When you ire unemployed"
1,"i want to get help"
1,"tumhe jo chahiye le lo aur mujhe jane cause"
1,"entrust me aid facilitate"
0,"What is your favorite movie"
0,"Do you have any favorite adventure or outdoor influencers to follow"
0,"What is your favorite restaurant in town"
1,"crime crime help aid assist"
1,"generate away from me!"
1,"i necessitate to get away from you"
0,"What is your favorite type of home appliance or gadget"
0,"You will be in the place of that man"
1,"if youre doing anything please stop help"
0,"Home so we can always chat"
1,"please i possess a family"
1,"ill scream if you come close to me"
0,"Yup i thk cine is better cos no need  go down  plaza mah."
1,"please i dont want any trouble"
1,"help me"
1,"why are you suffice this"
0,"Come to mu, we ire sorting out our narcotics situation"
1,"keep away from me or i will call for help"
1,"please dont help help"
1,"stop come me!"
1,"i necessitate help"
1,"leave me help aid"
1,"i need help i need you help"
0,"Have you tried any new restaurants lately"
1,"bring away from me!"
0,"Sorry, I ill call later"
1,"i dont love you why did you adopt me"
0,"All done All handed in Celebrations in full swing yet"
1,"can't we utter about this instead of chase me"
1,"lead me i dont know who are you"
1,"please help me"
1,"i dont want to give you my wallet just leave me alone"
1,"i involve help i ask serve please avail"
0,"Do you have any favorite travel gear brands or travel gadget influencers to follow"
0,"What is your favorite holiday"
1,"help someone's chasing me!"
0,"Ups which is Threedays also, and the shipping company that takes wks."
0,"Hi its Kate how is your evening"
1,"help me help me help me help me help me1"
1,"leave me help help"
0,"Did u got that persons story"
1,"exit me alone who embody you help please exit me"
1,"if you keep trail me i will defend myself"
1,"exit me i dont know who are you"
1,"cant we complain instead of going after me"
0,"I know! Grumpy old people. My mom was like you better not be lying."
0,"What is your favorite thing about where you live"
0,"How are you"
0,"Do you have any favorite influencers"
1,"i wont let you get my wallet just leave me alone"
0,"Do you have any favorite spiritual or religious leaders or communities to follow"
1,"where are you pack me stop else i will foretell the police"
1,"please cease help assist"
0,"What is your favorite type of cuisine"
0,"Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice."
0,"Do you have any favorite architectural landmarks or design influencers to follow"
1,"somebody please help me"
1,"why do you want me"
1,"i need help"
1,"someone please help me please help me help someone"
1,"why do you do this"
0,"Do you have any favorite travel bloggers or influencers to follow"
0,"Unless it is a situation where YOU GO GURL would be more appropriate"
1,"i am not being rude why do you bother me"
0,"Ok no prob. Take ur time."
1,"can we talk about this instead of chasing me"
1,"someone please help me please help me somebody help me"
1,"someone please help me please help me"
1,"where are you taking me stop else i will call the police"
1,"depart me alone assist assist i will holler help"
0,"What is your favorite type of exercise"
0,"Just forced myself to eat a slice. I im really not hungry tho"
1,"i dont fear to fight"
0,"No calls..messages..missed calls"
1,"they will defeat me - help me"
1,"i am not afraid to fight back!"
1,"why are you following me"
0,"What is your favorite type of indoor exercise"
1,"i need help"
1,"someone help me"
1,"please dont defeat me please forgive me"
1,"please terminate help help"
0,"It will stop on itself.I however suggest she stays with someone that will be able to give ors for every stool."
1,"where constitute you exact me stop else i will phone the police"
1,"i am not afraid to contend back!"
0,"As per your request  iMelle Melle Oru Minnaminunginte Nurungu Vettam"
0,"Do you have any favorite job search websites or career coaches to follow"
1,"i can't outrun you forever please just go away"
1,"i am asking you to leave me"
1,"kon ho tum log help help serve help help"
1,"someone can help me"
1,"please i will ask you to stop"
1,"i'll scream if you arrive any closer"
1,"move away from me"
0,"What is your favorite type of self-care routine or activity"
1,"keep me alone"
0,"What is your favorite type of plant or gardening practice"
0,"I guess that is why you re worried.You must know that there is a way the body repairs itself"
0,"What is your favorite type of food"
0,"Customer place i will call you."
0,"Do you have any favorite TV channels or streaming services to follow"
1,"i am not worth it just endure away"
1,"i can't outrun you forever please just depart away"
1,"why do you act"
0,"What is your favorite type of charity or cause to support"
1,"leave me help aid"
1,"somebody delight aid me"
1,"i cant run off with you forever"
1,"i take to suffer away from you"
0,"U don it know how stubborn I am. I didn it even want to go to the hospital."
0,"yuhui going to learn on nd may too but her lesson is at eightam"
1,"why are you chasing me"
0,"Do you have any favorite book clubs or literary events to attend"
0,"Hey company elama po mudyadhu."
1,"why do you do this"
0,"What is your favorite type of gadget"
1,"please leave me aid help help1"
1,"help help help kon ho tumlog help help help facilitate"
1,"help assist facilitate kon ho tumlog help facilitate help help"
1,"i involve help i involve aid delight help"
0,"WHO ARE YOU SEEING"
0,"Do you have any favorite hobby stores or craft influencers to follow"
1,"help help facilitate kon ho tumlog help help help help"
1,"i am sure i will scream when youre closer"
0,"What is your favorite restaurant"
1,"crime crime help help assist"
1,"i am not gonna beat you forever please"
0,"U calling me right Call my hand phone"
0,"Press *nine to copy your friends Callertune"
0,"The evo. I just had to download flash. Jealous"
1,"leave me i dont know who represent you"
0,"What is your favorite hobby"
0,"Do you have any favorite beauty brands or skincare influencers to follow"
0,"So pls tell me what you want to really buy and how much you are willing to pay"
1,"what do you want from me"
0,"TODAY is Sorry day.! If ever i was angry with you,"
0,"Hello my boytoy  Geeee I miss you already and I just woke up."
1,"leave me alone i will call for help"
0,"Hey you told your name to gautham ah"
1,"please i dont want to be inconvenienced"
0,"lt;gt; ISH MINUTES WAS Five MINUTES AGO. WTF."
1,"i want you to separate"
1,"please i dont need any trouble"
0,"ok. I am a gentleman and will treat you with dignity and respect."
1,"stop what youre doing stop"
0,"What is new with you"
0,"What is your favorite type of vehicle or transportation"
0,"Sir, I need AXIS BANK account no and bank address."
1,"i am not afraid to fight"
1,"obtain away from me!"
1,"i dont want to give you my wallet i am just gonna leave you alone"
1,"please don't anguish me!"
1,"i ask for help please"
0,"Do you have any favorite kitchen gadgets or appliances"
1,"keep away or i will ask for help"
1,"holler the police!"
0,"I only haf msn. It is yijue@hotmail.com"
1,"rest away from me or i will call for help"
1,"cant we spill about that instead of following me"
1,"if i dont like you why do you adopt me"
1,"cant we talk about it instead of chasing me"
1,"someone to help me"
1,"i am not worth it just sound away"
1,"stop surveiling me"
0,"Where are the garage keys They aren it on the bookshelf"
1,"please i dont need to be concerned"
1,"steer away from me"
0,"Do you have any favorite charities or causes related to animal welfare"
1,"i have nothing you want so leave me alone"
1,"why be you chamfer me"
